store_number,shop_name,region,format,category,day_of_week,time_of_day_band,test_purchases,pass_rate
013,OmniMart Bath,South West,Local,lottery,Saturday,Morning (08-12),1,1.0
015,OmniMart Plymouth,South West,Supermarket,alcohol,Sunday,Morning (08-12),1,1.0
010,OmniMart Oxford,South East,Local,fireworks,Sunday,Early evening (17-20),1,1.0
016,OmniMart Birmingham,Midlands,Superstore,energy drinks,Monday,Morning (08-12),2,0.5
030,OmniMart Cardiff,Wales,Supermarket,lottery,Monday,Afternoon (12-17),2,1.0
001,OmniMart Camden,London,Local,alcohol,Wednesday,Morning (08-12),1,1.0
025,OmniMart Durham,North East,Local,analgesics,Thursday,Afternoon (12-17),1,1.0
010,OmniMart Oxford,South East,Local,analgesics,Saturday,Morning (08-12),1,1.0
028,OmniMart Glasgow,Scotland,Supermarket,analgesics,Saturday,Afternoon (12-17),1,1.0
005,OmniMart Richmond,London,Local,energy drinks,Sunday,Morning (08-12),1,1.0
014,OmniMart Exeter,South West,Supermarket,fireworks,Wednesday,Morning (08-12),1,1.0
016,OmniMart Birmingham,Midlands,Superstore,analgesics,Wednesday,Early evening (17-20),1,1.0
014,OmniMart Exeter,South West,Supermarket,lottery,Friday,Afternoon (12-17),1,1.0
020,OmniMart Manchester,North West,Superstore,lottery,Friday,Late evening (20-22),1,1.0
010,OmniMart Oxford,South East,Local,analgesics,Sunday,Afternoon (12-17),1,1.0
015,OmniMart Plymouth,South West,Supermarket,tobacco,Monday,Late evening (20-22),1,1.0
005,OmniMart Richmond,London,Local,lottery,Thursday,Morning (08-12),1,1.0
023,OmniMart Chester,North West,Supermarket,energy drinks,Friday,Afternoon (12-17),1,1.0
030,OmniMart Cardiff,Wales,Supermarket,alcohol,Sunday,Morning (08-12),1,1.0
015,OmniMart Plymouth,South West,Supermarket,analgesics,Monday,Early evening (17-20),1,1.0
005,OmniMart Richmond,London,Local,tobacco,Tuesday,Afternoon (12-17),2,1.0
024,OmniMart Newcastle,North East,Supermarket,alcohol,Tuesday,Afternoon (12-17),2,1.0
005,OmniMart Richmond,London,Local,tobacco,Thursday,Morning (08-12),1,1.0
023,OmniMart Chester,North West,Supermarket,analgesics,Friday,Early evening (17-20),1,1.0
023,OmniMart Chester,North West,Supermarket,analgesics,Saturday,Morning (08-12),1,0.0
015,OmniMart Plymouth,South West,Supermarket,alcohol,Saturday,Afternoon (12-17),1,1.0
014,OmniMart Exeter,South West,Supermarket,lottery,Tuesday,Early evening (17-20),1,1.0
015,OmniMart Plymouth,South West,Supermarket,energy drinks,Friday,Early evening (17-20),1,0.0
030,OmniMart Cardiff,Wales,Supermarket,analgesics,Friday,Early evening (17-20),1,0.0
030,OmniMart Cardiff,Wales,Supermarket,lottery,Saturday,Early evening (17-20),2,0.5
004,OmniMart Greenwich,London,Supermarket,energy drinks,Saturday,Late evening (20-22),1,1.0
022,OmniMart Preston,North West,Local,alcohol,Saturday,Early evening (17-20),2,1.0
017,OmniMart Nottingham,Midlands,Supermarket,fireworks,Thursday,Morning (08-12),1,1.0
012,OmniMart Bristol,South West,Superstore,alcohol,Saturday,Morning (08-12),2,1.0
007,OmniMart Guildford,South East,Supermarket,fireworks,Sunday,Afternoon (12-17),1,1.0
027,OmniMart Edinburgh,Scotland,Superstore,energy drinks,Sunday,Afternoon (12-17),2,1.0
021,OmniMart Liverpool,North West,Supermarket,alcohol,Friday,Afternoon (12-17),1,1.0
011,OmniMart Canterbury,South East,Supermarket,lottery,Tuesday,Afternoon (12-17),2,0.5
022,OmniMart Preston,North West,Local,analgesics,Saturday,Late evening (20-22),1,1.0
002,OmniMart Clapham,London,Local,energy drinks,Sunday,Afternoon (12-17),1,1.0
021,OmniMart Liverpool,North West,Supermarket,analgesics,Thursday,Early evening (17-20),1,0.0
008,OmniMart Reading,South East,Superstore,alcohol,Friday,Early evening (17-20),1,1.0
004,OmniMart Greenwich,London,Supermarket,energy drinks,Saturday,Early evening (17-20),1,0.0
020,OmniMart Manchester,North West,Superstore,analgesics,Sunday,Early evening (17-20),2,0.5
001,OmniMart Camden,London,Local,fireworks,Wednesday,Afternoon (12-17),2,0.5
017,OmniMart Nottingham,Midlands,Supermarket,energy drinks,Friday,Morning (08-12),1,1.0
028,OmniMart Glasgow,Scotland,Supermarket,tobacco,Saturday,Afternoon (12-17),2,1.0
022,OmniMart Preston,North West,Local,analgesics,Saturday,Early evening (17-20),1,1.0
020,OmniMart Manchester,North West,Superstore,tobacco,Saturday,Early evening (17-20),2,1.0
008,OmniMart Reading,South East,Superstore,tobacco,Monday,Afternoon (12-17),1,1.0
006,OmniMart Ealing,London,Supermarket,tobacco,Friday,Morning (08-12),1,1.0
007,OmniMart Guildford,South East,Supermarket,energy drinks,Friday,Afternoon (12-17),1,1.0
006,OmniMart Ealing,London,Supermarket,tobacco,Monday,Afternoon (12-17),1,1.0
004,OmniMart Greenwich,London,Supermarket,lottery,Monday,Early evening (17-20),1,1.0
024,OmniMart Newcastle,North East,Supermarket,lottery,Wednesday,Early evening (17-20),1,1.0
009,OmniMart Brighton,South East,Supermarket,tobacco,Friday,Morning (08-12),1,1.0
008,OmniMart Reading,South East,Superstore,lottery,Saturday,Morning (08-12),1,1.0
004,OmniMart Greenwich,London,Supermarket,analgesics,Saturday,Afternoon (12-17),1,1.0
017,OmniMart Nottingham,Midlands,Supermarket,energy drinks,Saturday,Late evening (20-22),1,1.0
