store_number,user_id,total_transactions,check_complete_rate,check_rate_flag,checks_completed,check_pass_rate,pass_rate_flag,has_recent_test_purchase_fail,failed_categories,has_category_check_issue,flagged_categories
021,U0378,496,0.2661,Very high - checking almost everyone,132,0.8561,Normal,false,,false,
007,U0134,788,0.1586,Normal,125,0.808,Normal,false,,false,
019,U0324,1076,0.1385,Normal,149,0.8993,Normal,false,,false,
019,U0338,224,0.2098,Normal,47,0.9787,High pass rate,false,,false,
030,U0528,248,0.1371,Normal,34,1.0,High pass rate,false,,false,
014,U0239,268,0.1978,Normal,53,0.9434,Normal,false,,false,
026,U0454,436,0.1697,Normal,74,0.8919,Normal,false,,false,
028,U0492,912,0.1173,Normal,107,0.6729,Low pass rate - possible mislogging,false,,false,
027,U0475,296,0.2196,Normal,65,1.0,High pass rate,false,,false,
003,U0044,532,0.0921,Normal,49,0.9388,Normal,false,,false,
011,U0190,256,0.1641,Normal,42,0.9286,Normal,false,,false,
016,U0285,640,0.0828,Normal,53,0.8679,Normal,false,,false,
019,U0339,216,0.3056,Very high - checking almost everyone,66,0.9242,Normal,false,,false,
015,U0267,212,0.2028,Normal,43,0.8605,Normal,false,,false,
010,U0185,516,0.1376,Normal,71,0.7606,Low pass rate - possible mislogging,false,,false,
002,U0026,184,0.1522,Normal,28,0.8929,Normal,false,,false,
004,U0064,272,0.1728,Normal,47,0.9574,High pass rate,false,,false,
003,U0049,292,0.1678,Normal,49,0.9592,High pass rate,false,,false,
010,U0168,664,0.2545,Very high - checking almost everyone,169,0.9172,Normal,false,,false,
002,U0023,304,0.1875,Normal,57,0.9649,High pass rate,false,,false,
025,U0446,272,0.9522,Very high - checking almost everyone,259,0.8764,Normal,false,,false,
013,U0231,348,0.1236,Normal,43,0.8837,Normal,false,,false,
009,U0159,340,0.1765,Normal,60,0.9167,Normal,false,,false,
011,U0189,212,0.0943,Normal,20,0.85,Normal,false,,false,
017,U0294,288,0.1493,Normal,43,0.9767,High pass rate,false,,false,
021,U0376,552,0.1141,Normal,63,0.7778,Low pass rate - possible mislogging,false,,false,
023,U0408,264,0.1629,Normal,43,0.9302,Normal,false,,false,
005,U0097,188,0.2234,Normal,42,0.8571,Normal,false,,false,
002,U0030,144,0.1389,Normal,20,0.95,Normal,false,,false,
027,U0476,172,0.0814,Normal,14,1.0,Normal,false,,false,
013,U0227,356,0.0815,Normal,29,1.0,Normal,false,,false,
020,U0360,272,0.1066,Normal,29,0.8621,Normal,false,,false,
030,U0525,512,0.1367,Normal,70,0.7571,Low pass rate - possible mislogging,false,,false,
026,U0466,276,0.1884,Normal,52,0.8269,Normal,false,,false,
008,U0144,248,0.121,Normal,30,0.9667,High pass rate,false,,false,
010,U0170,324,0.1049,Normal,34,0.9118,Normal,false,,false,
001,U0013,168,0.1012,Normal,17,0.8824,Normal,false,,false,
027,U0482,540,0.1704,Normal,92,0.9022,Normal,false,,false,
004,U0061,232,0.1379,Normal,32,0.9688,High pass rate,false,,false,
007,U0133,504,0.9484,Very high - checking almost everyone,478,0.8013,Normal,false,,false,
003,U0041,136,0.125,Normal,17,0.8824,Normal,false,,false,
013,U0220,188,0.9947,Very high - checking almost everyone,187,0.9893,High pass rate,false,,false,
012,U0212,200,0.14,Normal,28,0.6429,Low pass rate - possible mislogging,false,,false,
024,U0421,180,0.1111,Normal,20,0.9,Normal,false,,false,
016,U0278,164,0.0915,Normal,15,1.0,Normal,false,,false,
015,U0269,516,0.9651,Very high - checking almost everyone,498,0.7932,Low pass rate - possible mislogging,false,,false,
006,U0120,140,0.2929,Very high - checking almost everyone,41,0.8293,Normal,false,,false,
028,U0491,288,0.2014,Normal,58,0.9138,Normal,false,,false,
021,U0365,308,0.2305,Very high - checking almost everyone,71,0.9437,Normal,false,,false,
012,U0213,648,0.0525,Normal,34,0.9412,Normal,false,,false,
013,U0222,156,0.2244,Normal,35,0.4857,Low pass rate - possible mislogging,false,,false,
005,U0094,140,0.9786,Very high - checking almost everyone,137,0.6423,Low pass rate - possible mislogging,false,,false,
017,U0305,268,0.1119,Normal,30,0.8,Normal,false,,false,
014,U0244,216,0.912,Very high - checking almost everyone,197,0.8477,Normal,false,,false,
003,U0057,280,0.1321,Normal,37,0.8649,Normal,false,,false,
003,U0046,228,0.1053,Normal,24,0.875,Normal,false,,false,
006,U0109,156,0.9167,Very high - checking almost everyone,143,0.9091,Normal,false,,false,
004,U0058,136,0.0956,Normal,13,0.7692,Low pass rate - possible mislogging,false,,false,
030,U0529,172,0.1047,Normal,18,0.7778,Low pass rate - possible mislogging,false,,false,
025,U0434,512,0.166,Normal,85,0.9059,Normal,false,,false,
018,U0310,128,0.125,Normal,16,1.0,Normal,false,,false,
006,U0119,496,0.0948,Normal,47,0.9574,High pass rate,false,,false,
010,U0172,232,0.2845,Very high - checking almost everyone,66,0.8939,Normal,false,,false,
022,U0384,152,0.1842,Normal,28,0.7143,Low pass rate - possible mislogging,false,,false,
003,U0042,368,0.2011,Normal,74,0.5946,Low pass rate - possible mislogging,false,,false,
003,U0043,324,0.1481,Normal,48,0.8542,Normal,false,,false,
009,U0160,292,0.1644,Normal,48,0.9792,High pass rate,false,,false,
001,U0010,152,0.1184,Normal,18,0.8333,Normal,false,,false,
026,U0467,328,0.1646,Normal,54,0.6481,Low pass rate - possible mislogging,false,,false,
010,U0180,200,0.97,Very high - checking almost everyone,194,0.9278,Normal,false,,false,
019,U0337,320,0.2125,Normal,68,0.9706,High pass rate,false,,false,
015,U0262,188,0.1436,Normal,27,0.8519,Normal,false,,false,
021,U0377,432,0.0741,Normal,32,0.9063,Normal,false,,false,
018,U0317,420,0.0667,Normal,28,0.8571,Normal,false,,false,
001,U0009,300,0.1767,Normal,53,0.8679,Normal,false,,false,
007,U0127,220,0.9773,Very high - checking almost everyone,215,0.7721,Low pass rate - possible mislogging,false,,false,
020,U0346,136,0.0662,Normal,9,0.8889,Normal,false,,false,
029,U0507,128,0.1875,Normal,24,0.875,Normal,false,,false,
005,U0102,168,0.119,Normal,20,0.7,Low pass rate - possible mislogging,false,,false,
008,U0146,124,0.0968,Normal,12,0.9167,Normal,false,,false,
023,U0411,284,0.0704,Normal,20,0.9,Normal,false,,false,
020,U0358,252,0.1667,Normal,42,0.881,Normal,false,,false,
007,U0135,484,0.1467,Normal,71,0.831,Normal,false,,false,
013,U0224,312,0.1186,Normal,37,0.8649,Normal,false,,false,
005,U0091,228,0.1798,Normal,41,0.7561,Low pass rate - possible mislogging,false,,false,
007,U0125,204,0.0735,Normal,15,0.9333,Normal,false,,false,
004,U0063,128,0.1094,Normal,14,0.9286,Normal,false,,false,
025,U0443,128,0.25,Very high - checking almost everyone,32,0.625,Low pass rate - possible mislogging,false,,false,
010,U0177,128,0.1016,Normal,13,0.6923,Low pass rate - possible mislogging,false,,false,
029,U0509,148,0.1959,Normal,29,1.0,Normal,false,,false,
005,U0081,144,0.0764,Normal,11,1.0,Normal,false,,false,
021,U0367,404,0.0866,Normal,35,0.8286,Normal,false,,false,
005,U0089,184,0.1848,Normal,34,0.6471,Low pass rate - possible mislogging,false,,false,
015,U0271,196,0.0969,Normal,19,0.5789,Low pass rate - possible mislogging,false,,false,
020,U0355,180,0.3,Very high - checking almost everyone,54,0.9815,High pass rate,false,,false,
021,U0372,224,0.0446,Very low - rarely checking ID,10,1.0,Normal,false,,false,
001,U0012,264,0.1477,Normal,39,0.6923,Low pass rate - possible mislogging,false,,false,
001,U0004,120,0.125,Normal,15,0.8667,Normal,false,,false,
028,U0495,128,0.2422,Very high - checking almost everyone,31,0.871,Normal,false,,false,
024,U0414,168,0.1607,Normal,27,0.7407,Low pass rate - possible mislogging,false,,false,
011,U0195,144,0.0833,Normal,12,1.0,Normal,false,,false,
014,U0253,224,0.2813,Very high - checking almost everyone,63,0.7937,Low pass rate - possible mislogging,false,,false,
021,U0364,124,0.2177,Normal,27,0.8519,Normal,false,,false,
030,U0531,240,0.125,Normal,30,0.9,Normal,true,analgesics,false,
009,U0151,164,0.1098,Normal,18,1.0,Normal,true,analgesics,false,
020,U0356,192,0.0938,Normal,18,0.9444,Normal,true,fireworks,false,
026,U0460,204,0.1373,Normal,28,0.9286,Normal,true,energy drinks,false,
011,U0188,152,0.0724,Normal,11,0.7273,Low pass rate - possible mislogging,true,energy drinks,false,
012,U0210,308,0.0292,Very low - rarely checking ID,9,0.8889,Normal,true,analgesics,true,analgesics
025,U0437,284,0.1197,Normal,34,0.9412,Normal,true,energy drinks,true,analgesics
013,U0233,348,0.0776,Normal,27,0.9259,Normal,false,,true,analgesics
030,U0532,424,0.0566,Normal,24,0.9167,Normal,false,,true,energy drinks
014,U0258,304,0.1513,Normal,46,0.7826,Low pass rate - possible mislogging,false,,true,fireworks
027,U0474,188,0.1543,Normal,29,0.9655,Normal,false,,true,analgesics
006,U0118,224,0.2009,Normal,45,0.4667,Low pass rate - possible mislogging,false,,true,fireworks
028,U0494,172,0.0291,Very low - rarely checking ID,5,0.8,Unscored - low volume,false,,true,"energy drinks, alcohol, tobacco"
030,U0517,224,0.1607,Normal,36,0.8056,Normal,false,,true,fireworks
027,U0483,384,0.0339,Very low - rarely checking ID,13,0.7692,Low pass rate - possible mislogging,false,,true,analgesics
004,U0075,656,0.0305,Very low - rarely checking ID,20,0.65,Low pass rate - possible mislogging,false,,true,"analgesics, fireworks"
021,U0380,304,0.1776,Normal,54,1.0,High pass rate,false,,true,energy drinks
016,U0282,248,0.0242,Very low - rarely checking ID,6,1.0,Normal,false,,true,"energy drinks, tobacco"
007,U0124,124,0.0242,Very low - rarely checking ID,3,1.0,Unscored - low volume,false,,true,"tobacco, alcohol"
012,U0200,148,0.0068,Very low - rarely checking ID,1,0.0,Unscored - low volume,false,,true,"lottery, tobacco, energy drinks"
008,U0150,176,0.2898,Very high - checking almost everyone,51,0.9804,High pass rate,false,,true,lottery
027,U0472,192,0.0781,Normal,15,0.8667,Normal,false,,true,energy drinks
030,U0533,428,0.1706,Normal,73,0.6301,Low pass rate - possible mislogging,false,,true,fireworks
030,U0523,188,0.1543,Normal,29,0.9655,Normal,false,,true,analgesics
014,U0243,172,0.1744,Normal,30,0.5667,Low pass rate - possible mislogging,false,,true,energy drinks
019,U0330,152,0.125,Normal,19,0.8947,Normal,false,,true,analgesics
022,U0393,120,0.2333,Very high - checking almost everyone,28,1.0,Normal,false,,true,analgesics
001,U0017,236,0.1186,Normal,28,0.9643,Normal,false,,false,
024,U0417,304,0.1842,Normal,56,0.7679,Low pass rate - possible mislogging,false,,false,
006,U0121,336,0.1458,Normal,49,0.8776,Normal,false,,false,
004,U0062,412,0.0947,Normal,39,0.9744,High pass rate,false,,false,
013,U0218,408,0.2083,Normal,85,0.8588,Normal,false,,false,
014,U0254,612,0.1454,Normal,89,0.9438,Normal,false,,false,
023,U0403,164,0.0854,Normal,14,0.7857,Low pass rate - possible mislogging,false,,false,
014,U0246,480,0.1208,Normal,58,0.8793,Normal,false,,false,
027,U0485,332,0.1114,Normal,37,0.8649,Normal,false,,false,
016,U0283,536,0.097,Normal,52,0.7692,Low pass rate - possible mislogging,false,,false,
001,U0002,240,0.0958,Normal,23,0.8696,Normal,false,,false,
014,U0238,852,0.0974,Normal,83,0.9157,Normal,false,,false,
005,U0079,296,0.1757,Normal,52,0.7692,Low pass rate - possible mislogging,false,,false,
025,U0445,320,0.9594,Very high - checking almost everyone,307,0.8534,Normal,false,,false,
017,U0296,400,0.095,Normal,38,0.9211,Normal,false,,false,
026,U0462,672,0.1949,Normal,131,0.9389,Normal,false,,false,
022,U0391,472,0.1335,Normal,63,0.9524,High pass rate,false,,false,
007,U0136,196,0.2296,Very high - checking almost everyone,45,0.8889,Normal,false,,false,
027,U0486,428,0.1776,Normal,76,0.8816,Normal,false,,false,
030,U0527,520,0.1654,Normal,86,1.0,High pass rate,false,,false,
007,U0123,348,0.1925,Normal,67,0.8358,Normal,false,,false,
005,U0096,680,0.1279,Normal,87,0.8966,Normal,false,,false,
002,U0024,172,0.2674,Very high - checking almost everyone,46,0.8913,Normal,false,,false,
024,U0412,432,0.1829,Normal,79,0.7848,Low pass rate - possible mislogging,false,,false,
010,U0166,352,0.125,Normal,44,0.9773,High pass rate,false,,false,
005,U0083,200,0.13,Normal,26,0.8846,Normal,false,,false,
007,U0126,224,0.1429,Normal,32,0.9688,High pass rate,false,,false,
023,U0409,252,0.2421,Very high - checking almost everyone,61,0.9836,High pass rate,false,,false,
008,U0143,128,0.1328,Normal,17,0.8824,Normal,false,,false,
020,U0357,452,0.1637,Normal,74,0.8919,Normal,false,,false,
