store_number,shop_name,region,format,_compliance_tier
001,OmniMart Camden,London,Local,good
002,OmniMart Clapham,London,Local,good
003,OmniMart Islington,London,Supermarket,excellent
004,OmniMart Greenwich,London,Supermarket,at_risk
005,OmniMart Richmond,London,Local,good
006,OmniMart Ealing,London,Supermarket,at_risk
007,OmniMart Guildford,South East,Supermarket,good
008,OmniMart Reading,South East,Superstore,good
009,OmniMart Brighton,South East,Supermarket,good
010,OmniMart Oxford,South East,Local,good
011,OmniMart Canterbury,South East,Supermarket,good
012,OmniMart Bristol,South West,Superstore,good
013,OmniMart Bath,South West,Local,good
014,OmniMart Exeter,South West,Supermarket,excellent
015,OmniMart Plymouth,South West,Supermarket,good
016,OmniMart Birmingham,Midlands,Superstore,at_risk
017,OmniMart Nottingham,Midlands,Supermarket,good
018,OmniMart Leicester,Midlands,Supermarket,good
019,OmniMart Coventry,Midlands,Local,excellent
020,OmniMart Manchester,North West,Superstore,at_risk
021,OmniMart Liverpool,North West,Supermarket,good
022,OmniMart Preston,North West,Local,excellent
023,OmniMart Chester,North West,Supermarket,good
024,OmniMart Newcastle,North East,Supermarket,good
025,OmniMart Durham,North East,Local,good
026,OmniMart York,North East,Supermarket,good
027,OmniMart Edinburgh,Scotland,Superstore,good
028,OmniMart Glasgow,Scotland,Supermarket,good
029,OmniMart Aberdeen,Scotland,Local,good
030,OmniMart Cardiff,Wales,Supermarket,good
