transaction_id,store_number,transaction_date,transaction_time,user_id,category,id_check_complete,id_check_passed
TXN000001,018,2025-07-18,08:02,U0316,alcohol,False,
TXN000002,008,2025-07-18,08:06,U0147,lottery,False,
TXN000003,006,2025-07-18,08:13,U0118,tobacco,False,
TXN000004,008,2025-07-18,08:23,U0148,tobacco,False,
TXN000005,025,2025-07-18,08:28,U0435,tobacco,False,
TXN000006,003,2025-07-18,08:41,U0053,lottery,False,
TXN000007,022,2025-07-18,08:44,U0391,lottery,False,
TXN000008,026,2025-07-18,08:52,U0450,tobacco,False,
TXN000009,019,2025-07-18,09:35,U0337,energy drinks,False,
TXN000010,021,2025-07-18,09:56,U0379,tobacco,False,
TXN000011,018,2025-07-18,10:07,U0318,energy drinks,False,
TXN000012,030,2025-07-18,10:14,U0530,energy drinks,False,
TXN000013,022,2025-07-18,10:15,U0386,lottery,False,
TXN000014,030,2025-07-18,10:26,U0532,tobacco,False,
TXN000015,021,2025-07-18,10:34,U0380,alcohol,True,True
TXN000016,007,2025-07-18,10:49,U0132,alcohol,False,
TXN000017,025,2025-07-18,10:56,U0442,tobacco,True,True
TXN000018,008,2025-07-18,11:17,U0146,alcohol,True,False
TXN000019,017,2025-07-18,11:27,U0300,alcohol,False,
TXN000020,018,2025-07-18,11:32,U0318,tobacco,False,
TXN000021,002,2025-07-18,11:39,U0031,tobacco,False,
TXN000022,013,2025-07-18,11:47,U0221,lottery,False,
TXN000023,025,2025-07-18,11:57,U0440,lottery,False,
TXN000024,019,2025-07-18,11:58,U0327,tobacco,True,False
TXN000025,021,2025-07-18,12:02,U0379,tobacco,False,
TXN000026,016,2025-07-18,12:03,U0286,tobacco,False,
TXN000027,002,2025-07-18,12:05,U0034,alcohol,False,
TXN000028,028,2025-07-18,12:10,U0495,alcohol,False,
TXN000029,009,2025-07-18,12:22,U0161,tobacco,False,
TXN000030,009,2025-07-18,12:28,U0155,alcohol,False,
TXN000031,004,2025-07-18,12:40,U0077,alcohol,False,
TXN000032,019,2025-07-18,12:47,U0335,alcohol,False,
TXN000033,002,2025-07-18,12:54,U0033,alcohol,False,
TXN000034,007,2025-07-18,13:11,U0123,lottery,False,
TXN000035,030,2025-07-18,13:13,U0525,energy drinks,True,False
TXN000036,014,2025-07-18,13:27,U0238,alcohol,False,
TXN000037,007,2025-07-18,13:28,U0135,lottery,False,
TXN000038,007,2025-07-18,13:30,U0124,lottery,False,
TXN000039,021,2025-07-18,13:31,U0376,energy drinks,False,
TXN000040,010,2025-07-18,13:33,U0169,lottery,False,
TXN000041,015,2025-07-18,13:38,U0266,analgesics,False,
TXN000042,019,2025-07-18,13:38,U0321,alcohol,False,
TXN000043,009,2025-07-18,13:40,U0159,tobacco,True,True
TXN000044,012,2025-07-18,13:45,U0207,tobacco,False,
TXN000045,015,2025-07-18,13:46,U0270,tobacco,False,
TXN000046,016,2025-07-18,13:51,U0280,lottery,False,
TXN000047,005,2025-07-18,13:52,U0098,energy drinks,True,True
TXN000048,019,2025-07-18,14:06,U0337,lottery,False,
TXN000049,006,2025-07-18,14:10,U0115,alcohol,False,
TXN000050,027,2025-07-18,14:21,U0481,tobacco,False,
TXN000051,030,2025-07-18,14:25,U0533,energy drinks,False,
TXN000052,008,2025-07-18,15:07,U0145,lottery,False,
TXN000053,013,2025-07-18,15:21,U0222,tobacco,False,
TXN000054,025,2025-07-18,15:25,U0449,tobacco,True,True
TXN000055,012,2025-07-18,15:27,U0206,alcohol,False,
TXN000056,010,2025-07-18,15:32,U0168,alcohol,False,
TXN000057,030,2025-07-18,15:49,U0530,alcohol,False,
TXN000058,003,2025-07-18,15:57,U0052,alcohol,False,
TXN000059,027,2025-07-18,15:57,U0485,lottery,False,
TXN000060,002,2025-07-18,16:08,U0034,alcohol,False,
TXN000061,030,2025-07-18,16:08,U0520,alcohol,False,
TXN000062,017,2025-07-18,16:24,U0296,alcohol,False,
TXN000063,011,2025-07-18,16:34,U0191,tobacco,False,
TXN000064,020,2025-07-18,16:38,U0348,alcohol,True,True
TXN000065,030,2025-07-18,16:42,U0518,alcohol,False,
TXN000066,030,2025-07-18,16:54,U0518,alcohol,False,
